DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
2021/10/01,1,2016,SMART,HALIFAX COUNTY,
2021/10/01,6,2016,TESLA,HALIFAX COUNTY,
2021/10/01,3,2016,TESLA,LUNENBURG COUNTY,
2021/10/01,9,2017,CHEVROLET,HALIFAX COUNTY,
2021/10/01,1,2017,CHEVROLET,LUNENBURG COUNTY,
2021/10/01,2,2017,CHEVROLET,COLCHESTER COUNTY,
2021/10/01,1,2017,CHEVROLET,KINGS COUNTY,
2021/10/01,1,2017,CHEVROLET,CAPE BRETON COUNTY,
2021/10/01,1,2017,CHEVROLET,ANTIGONISH COUNTY,
2021/10/01,2,2017,FORD,HALIFAX COUNTY,
2021/10/01,2,2017,HYUNDAI,HALIFAX COUNTY,
2021/10/01,3,2017,KIA,HALIFAX COUNTY,
2021/10/01,6,2017,NISSAN,HALIFAX COUNTY,
2021/10/01,2,2017,SMART,HALIFAX COUNTY,
2021/10/01,6,2017,TESLA,HALIFAX COUNTY,
2021/10/01,1,2017,TESLA,COLCHESTER COUNTY,
2021/10/01,1,2017,TESLA,INVERNESS COUNTY,
2021/10/01,1,2017,TOYOTA,KINGS COUNTY,
2021/10/01,1,2017,VOLKSWAGEN,PICTOU COUNTY,
2021/10/01,1,2017,VOLKSWAGEN,ANNAPOLIS COUNTY,
2021/10/01,1,2018,AUDI,QUEENS COUNTY,
2021/10/01,1,2018,CHEVROLET,COLCHESTER COUNTY,
2021/10/01,6,2018,CHEVROLET,HALIFAX COUNTY,
2021/10/01,2,2018,CHEVROLET,LUNENBURG COUNTY,
2021/10/01,2,2018,FORD,HALIFAX COUNTY,
2021/10/01,1,2018,FORD,COLCHESTER COUNTY,
2021/10/01,1,2018,HYUNDAI,HANTS COUNTY,
2021/10/01,1,2018,HYUNDAI,HALIFAX COUNTY,
2021/10/01,1,2018,KIA,HALIFAX COUNTY,
2021/10/01,1,2018,KIA,KINGS COUNTY,
2021/10/01,1,2018,MERCEDES BENZ,HALIFAX COUNTY,
2021/10/01,10,2018,NISSAN,HALIFAX COUNTY,
2021/10/01,2,2018,NISSAN,KINGS COUNTY,
2021/10/01,1,2018,NISSAN,ANNAPOLIS COUNTY,
2021/10/01,1,2018,SMART,HALIFAX COUNTY,
2021/10/01,2,2018,TESLA,COLCHESTER COUNTY,
2021/10/01,33,2018,TESLA,HALIFAX COUNTY,
2021/10/01,1,2018,TESLA,QUEENS COUNTY,
2021/10/01,3,2018,TESLA,PICTOU,
2021/10/01,1,2018,TESLA,CUMBERLAND COUNTY,
2021/10/01,4,2018,TESLA,LUNENBURG COUNTY,
