DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
2024/01/22,1,2023,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HANTS COUNTY,LEAF
2024/01/22,1,2023,NISSAN,HANTS COUNTY,LEAF
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LVL
2024/01/22,1,2015,NISSAN,LUNENBURG COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2021,NISSAN,HANTS COUNTY,LEAF
2024/01/22,1,2014,NISSAN,HANTS COUNTY,LEAF
2024/01/22,1,2012,NISSAN,KINGS COUNTY,LEAF
2024/01/22,1,2023,NISSAN,HALIFAX COUNTY,SSR
2024/01/22,1,2018,NISSAN,CAPE BRETON COUNTY,LEAF
2024/01/22,1,2018,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2017,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2022,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2017,NISSAN,PICTOU COUNTY,LVL
2024/01/22,1,2020,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,HALIFAX COUNTY,LFS
2024/01/22,1,2022,CHEVROLET,HANTS COUNTY,BOLT EUV
2024/01/22,1,2018,CHEVROLET,KINGS COUNTY,BOLT
2024/01/22,1,2020,CHEVROLET,HALIFAX COUNTY,BOLT
2024/01/22,1,2019,CHEVROLET,LUNENBURG COUNTY,BOLT EV PREMIER
2024/01/22,1,2020,CHEVROLET,KINGS COUNTY,BOLT
2024/01/22,1,2020,CHEVROLET,KINGS COUNTY,BOLT
2024/01/22,1,2020,CHEVROLET,KINGS COUNTY,BOLT
2024/01/22,1,2022,AUDI,HALIFAX COUNTY,E-TRON GT
2024/01/22,1,2019,AUDI,HALIFAX COUNTY,E-TRON
2024/01/22,1,2024,CADILLAC,HALIFAX COUNTY,LYRIQ
2024/01/22,1,2024,CADILLAC,HALIFAX COUNTY,LYRIQ
2024/01/22,1,2023,HONDA,CAPE BRETON COUNTY,ACCORD
2024/01/22,1,2023,HONDA,HALIFAX COUNTY,CR-V
2024/01/22,1,2018,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2023,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2023,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2023,NISSAN,ANNAPOLIS COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2021,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2020,NISSAN,KINGS COUNTY,LEAF
2024/01/22,1,2020,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2013,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,ANNAPOLIS COUNTY,LFS
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2020,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2020,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2020,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LSV
2024/01/22,1,2017,NISSAN,HALIFAX COUNTY,LVL
2024/01/22,1,2019,NISSAN,KINGS COUNTY,LEAF S PLUS
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HANTS COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF S/SV/SL
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2012,NISSAN,CAPE BRETON COUNTY,LVL
2024/01/22,1,2014,NISSAN,LUNENBURG COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2014,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2012,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2021,VER-MAC,ANTIGONISH COUNTY,ST-4X8
2024/01/22,1,2021,VER-MAC,ANTIGONISH COUNTY,ST-4X8
2024/01/22,1,2022,LEXUS,HALIFAX COUNTY,ES
2024/01/22,1,2011,LEXUS,HALIFAX COUNTY,RX
2024/01/22,1,2024,GMC,COLCHESTER COUNTY,HUMMER
2024/01/22,1,2024,GMC,CAPE BRETON COUNTY,HUMMR
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,AMG EQS 4MATIC
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,EQE 350 4MATIC
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,EQS 580 4MATIC
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,EQE350
2024/01/22,1,2022,MERCEDES BENZ,HALIFAX COUNTY,EQB
2024/01/22,1,2023,MERCEDES BENZ,LUNENBURG COUNTY,EQB 350
2024/01/22,1,2022,MERCEDES BENZ,HALIFAX COUNTY,EQS 580
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2020,VOLKSWAGEN,LUNENBURG COUNTY,E GOLF
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID 4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID 4
2024/01/22,1,2023,VOLKSWAGEN,HANTS COUNTY,ID4
2024/01/22,1,2024,VOLKSWAGEN,HALIFAX COUNTY,TAOS
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4 AWD
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4 AWD
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,ANTIGONISH COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,KINGS COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,LUNENBURG COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,KINGS COUNTY,1D4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2019,VOLKSWAGEN,CAPE BRETON COUNTY,EGP
2024/01/22,1,2016,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID.4
2024/01/22,1,2016,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2016,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2016,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2021,VOLKSWAGEN,HALIFAX COUNTY,ID 4
2024/01/22,1,2018,VOLKSWAGEN,COLCHESTER COUNTY,GOLF
2024/01/22,1,2020,VOLKSWAGEN,HALIFAX COUNTY,E GOLF
2024/01/22,1,2018,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2020,VOLKSWAGEN,ANNAPOLIS COUNTY,E-GOLF
2024/01/22,1,2019,KIA,COLCHESTER COUNTY,NIRO
2024/01/22,1,2024,KIA,KINGS COUNTY,NIRO
2024/01/22,1,2024,KIA,KINGS COUNTY,EV6
2024/01/22,1,2023,KIA,KINGS COUNTY,NIRO
2024/01/22,1,2024,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2024,KIA,PICTOU COUNTY,NIRO
2024/01/22,1,2024,KIA,CUMBERLAND COUNTY,EV6
2024/01/22,1,2024,KIA,ANNAPOLIS COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2023,KIA,HANTS COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2018,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2023,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,KINGS COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2023,KIA,COLCHESTER COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2020,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2023,KIA,COLCHESTER COUNTY,NIRO EV
2024/01/22,1,2018,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2020,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2023,KIA,HALIFAX COUNTY,SORENTO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,CAPE BRETON COUNTY,EV6
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,SOUL EV
2024/01/22,1,2020,KIA,KINGS COUNTY,SOUL
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,CAPE BRETON COUNTY,SORENTO HEV
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,LUNENBURG COUNTY,EV6
2024/01/22,1,2022,KIA,HANTS COUNTY,EV6
2024/01/22,1,2021,KIA,OUT OF PROVINCE,SOUL
2024/01/22,1,2022,KIA,KINGS COUNTY,SOUL
2024/01/22,1,2022,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,NIRO EV
2024/01/22,1,2020,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2020,KIA,ANTIGONISH COUNTY,NIRO
2024/01/22,1,2022,KIA,KINGS COUNTY,SOUL EV (SK3 EV)
2024/01/22,1,2021,KIA,PICTOU COUNTY,NIRO EV
2024/01/22,1,2021,KIA,KINGS COUNTY,SOUL EV (SK3 EV)
2024/01/22,1,2021,KIA,GUYSBOROUGH COUNTY,KONA
2024/01/22,1,2018,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2017,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2020,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2017,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2015,KIA,HALIFAX COUNTY,SOUL EV
2024/01/22,1,2023,NOVABUS,HALIFAX COUNTY,ELEC
2024/01/22,1,2023,PORSCHE,HALIFAX COUNTY,TAYCAN
2024/01/22,1,2022,PORSCHE,HALIFAX COUNTY,TAYCAN
2024/01/22,1,2023,PORSCHE,HALIFAX COUNTY,TAYCAN
2024/01/22,1,2023,PORSCHE,LUNENBURG COUNTY,TAYCAN
2024/01/22,1,2023,PORSCHE,ANNAPOLIS COUNTY,TAYCAN
2024/01/22,1,2022,PORSCHE,HALIFAX COUNTY,TAYCAN
2024/01/22,1,2020,PORSCHE,HALIFAX COUNTY,TAYCAN
2024/01/22,1,2013,BIL-JAX,DIGBY COUNTY,4527A
2024/01/22,1,2012,BIL-JAX,HALIFAX COUNTY,5533A
2024/01/22,1,2013,ASTEC,ANTIGONISH COUNTY,PSS-412-60
2024/01/22,1,2014,SMART,COLCHESTER COUNTY,FORTWO
2024/01/22,1,2014,SMART,COLCHESTER COUNTY,FORTW
2024/01/22,1,2017,SMART,HALIFAX COUNTY,FORTW
2024/01/22,1,2015,SMART,HANTS COUNTY,FORTWO
2024/01/22,1,2015,SMART,HALIFAX COUNTY,FORTWO
2024/01/22,1,2014,SMART,HALIFAX COUNTY,FORTWO
2024/01/22,1,2013,SMART,HALIFAX COUNTY,FORTWO
2024/01/22,1,2024,MINI,HALIFAX COUNTY,COOPER SE
2024/01/22,1,2024,MINI,HALIFAX COUNTY,COOPER SE
2024/01/22,1,2022,MINI,HALIFAX COUNTY,COOPER
2024/01/22,1,2023,MINI,KINGS COUNTY,COOPER
2024/01/22,1,2023,MINI,HALIFAX COUNTY,COOPER
2024/01/22,1,2023,MINI,HALIFAX COUNTY,COOPER
2024/01/22,1,2023,MINI,HALIFAX COUNTY,COOPER SE
2024/01/22,1,2022,MINI,HALIFAX COUNTY,COOPER SE
2024/01/22,1,2022,MINI,HANTS COUNTY,COOPERSE3DOOR
2024/01/22,1,2022,MINI,HALIFAX COUNTY,COOPER
2024/01/22,1,2020,MINI,HALIFAX COUNTY,COOPER SE
2024/01/22,1,2021,MINI,PICTOU COUNTY,COOPER SE
2024/01/22,1,2017,ZERO,HALIFAX COUNTY,FXS ZF6.5
2024/01/22,1,2018,ZERO,HALIFAX COUNTY,DS
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,DIGBY COUNTY,MODEL Y
2024/01/22,1,2019,TESLA,KINGS COUNTY,3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,KINGS COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2022,TESLA,DIGBY COUNTY,3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,3
2024/01/22,1,2022,TESLA,HANTS COUNTY,Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2020,TESLA,HALIFAX COUNTY,3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2021,TESLA,HALIFAX COUNTY,3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,Y
2024/01/22,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,QUEENS COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2022,TESLA,HALIFAX COUNTY,MODEL X PLAID
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MOCEL 3
2024/01/22,1,2023,TESLA,ANNAPOLIS COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,Y
2024/01/22,1,2023,TESLA,LUNENBURG COUNTY,MODEL Y
2024/01/22,1,2022,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL 3
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,LUNENBURG COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,HALIFAX COUNTY,MODEL Y
2024/01/22,1,2023,TESLA,CAPE BRETON COUNTY,MODEL Y
2024/01/22,1,2022,CHEVROLET,HALIFAX COUNTY,BOLT
2024/01/22,1,2019,CHEVROLET,VICTORIA COUNTY,BOLT
2024/01/22,1,2016,CHEVROLET,HALIFAX COUNTY,SPARK
2024/01/22,1,2017,CHEVROLET,HALIFAX COUNTY,BOLT EV
2024/01/22,1,2017,CHEVROLET,HALIFAX COUNTY,BOLT
2024/01/22,1,2020,CHEVROLET,HALIFAX COUNTY,BOLT
2024/01/22,1,2019,CHEVROLET,KINGS COUNTY,BOLT
2024/01/22,1,2018,CHEVROLET,LUNENBURG COUNTY,BOLT
2024/01/22,1,2019,CHRYSLER,HALIFAX COUNTY,PACIFICA
2024/01/22,1,2020,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2016,MITSUBISHI,HALIFAX COUNTY,I MIEV
2024/01/22,1,2023,AUDI,HALIFAX COUNTY,Q4
2024/01/22,1,2023,AUDI,HALIFAX COUNTY,Q4 E
2024/01/22,1,2023,AUDI,HALIFAX COUNTY,Q4
2024/01/22,1,2023,AUDI,COLCHESTER COUNTY,Q4
2024/01/22,1,2024,CADILLAC,CAPE BRETON COUNTY,LYRIQ
2024/01/22,1,2023,BMW,HALIFAX COUNTY,I4 M50
2024/01/22,1,2017,BMW,HALIFAX COUNTY,I3
2024/01/22,1,2022,BMW,HALIFAX COUNTY,COOPER
2024/01/22,1,2020,NISSAN,PICTOU COUNTY,LEAF
2024/01/22,1,2023,NISSAN,HALIFAX COUNTY,ARIYA
2024/01/22,1,2023,NISSAN,HALIFAX COUNTY,ARIYA
2024/01/22,1,2023,NISSAN,CAPE BRETON COUNTY,ARIYA
2024/01/22,1,2023,NISSAN,ANNAPOLIS COUNTY,ARIYA
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2023,NISSAN,HANTS COUNTY,LEAF
2024/01/22,1,2017,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2023,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,KINGS COUNTY,LEAF
2024/01/22,1,2018,NISSAN,LUNENBURG COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2020,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,KINGS COUNTY,LFS
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,HALIFAX COUNTY,LEAF S AUTO
2024/01/22,1,2017,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2003,CLUB CAR,HALIFAX COUNTY,GOLF CART
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2018,NISSAN,LUNENBURG COUNTY,LEAF
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2019,NISSAN,LUNENBURG COUNTY,LEAF
2024/01/22,1,2013,NISSAN,LUNENBURG COUNTY,LEAF
2024/01/22,1,2016,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2016,NISSAN,CAPE BRETON COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2015,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2014,NISSAN,KINGS COUNTY,LEAF
2024/01/22,1,2013,NISSAN,COLCHESTER COUNTY,LEAF
2024/01/22,1,2012,NISSAN,HALIFAX COUNTY,LEAF
2024/01/22,1,2009,NISSAN,VICTORIA COUNTY,ALTIMA
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,EQE350
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,EQE 350
2024/01/22,1,2023,MERCEDES BENZ,KINGS COUNTY,EQE350
2024/01/22,1,2023,MERCEDES BENZ,CAPE BRETON COUNTY,EQE350
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,EQE 350
2024/01/22,1,2022,MERCEDES BENZ,HALIFAX COUNTY,GLE COUPE
2024/01/22,1,2023,MERCEDES BENZ,HALIFAX COUNTY,EQS450
2024/01/22,1,2023,MERCEDES BENZ,KINGS COUNTY,EQB
2024/01/22,1,2022,MERCEDES BENZ,HALIFAX COUNTY,EQS 580
2024/01/22,1,2022,MERCEDES BENZ,DIGBY COUNTY,EQS580
2024/01/22,1,2023,VOLKSWAGEN,HANTS COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,1D4 AWD
2024/01/22,1,2023,VOLKSWAGEN,ANNAPOLIS COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HANTS COUNTY,ID4 AWD
2024/01/22,1,2023,VOLKSWAGEN,LUNENBURG COUNTY,ID4 AWD
2024/01/22,1,2023,VOLKSWAGEN,HALIFAX COUNTY,ID4
2024/01/22,1,2023,VOLKSWAGEN,HANTS COUNTY,ID4
2024/01/22,1,2020,VOLKSWAGEN,HALIFAX COUNTY,GOLF
2024/01/22,1,2016,VOLKSWAGEN,INVERNESS COUNTY,E-GOLF
2024/01/22,1,2015,VOLKSWAGEN,HANTS COUNTY,E-GOLF
2024/01/22,1,2016,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2020,VOLKSWAGEN,PICTOU COUNTY,E-GOLF
2024/01/22,1,2017,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2020,VOLKSWAGEN,HALIFAX COUNTY,E-GOLF
2024/01/22,1,2018,VOLKSWAGEN,KINGS COUNTY,E-GOLF
2024/01/22,1,2020,VOLKSWAGEN,HALIFAX COUNTY,E GOLF
2024/01/22,1,2019,VOLKSWAGEN,HALIFAX COUNTY,E GOLF
2024/01/22,1,2023,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2024,KIA,QUEENS COUNTY,EV6
2024/01/22,1,2024,KIA,KINGS COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2024,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2024,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2023,KIA,KINGS COUNTY,NIRO
2024/01/22,1,2023,KIA,COLCHESTER COUNTY,NIRO
2024/01/22,1,2022,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,COLCHESTER COUNTY,EV6
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2023,KIA,HANTS COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2023,KIA,HALIFAX COUNTY,SPORTAGE
2024/01/22,1,2023,KIA,HANTS COUNTY,EV6
2024/01/22,1,2023,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,KINGS COUNTY,EV6
2024/01/22,1,2022,KIA,ANNAPOLIS COUNTY,EV6 (CV)
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,LUNENBURG COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,NIRO
2024/01/22,1,2022,KIA,LUNENBURG COUNTY,EV6
2024/01/22,1,2022,KIA,HALIFAX COUNTY,SORENTO
2024/01/22,1,2022,KIA,HANTS COUNTY,SOUL EV (SK3 EV
2024/01/22,1,2022,KIA,CAPE BRETON COUNTY,SOUL EV (SK3 EV)
2024/01/22,1,2022,KIA,HANTS COUNTY,SORENTO
2024/01/22,1,2022,KIA,HALIFAX COUNTY,SOUL EV (SK3EV)
2024/01/22,1,2021,KIA,HALIFAX COUNTY,NIRO EV
2024/01/22,1,2020,KIA,ANNAPOLIS COUNTY,NIRO EV
2024/01/22,1,2020,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2020,KIA,HALIFAX COUNTY,NIRO EV
2024/01/22,1,2021,KIA,ANNAPOLIS COUNTY,SOUL EV
2024/01/22,1,2016,KIA,CUMBERLAND COUNTY,SOUL EV
2024/01/22,1,2020,KIA,ANNAPOLIS COUNTY,SOUL EV
2024/01/22,1,2016,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2019,KIA,PICTOU COUNTY,NIRO
2024/01/22,1,2016,KIA,HALIFAX COUNTY,SOUL
2024/01/22,1,2016,KIA,CAPE BRETON COUNTY,SOUL ELECTRIC
2024/01/22,1,2008,KIA,QUEENS COUNTY,RIO
2024/01/22,1,2023,PORSCHE,HALIFAX COUNTY,Y1ADE1
2024/01/22,1,2022,PORSCHE,HALIFAX COUNTY,TAYCAN
2024/01/22,1,2022,PORSCHE,HANTS COUNTY,TAYCAN
2024/01/22,1,2021,PORSCHE,HALIFAX COUNTY,TAYCAN
2024/01/22,1,2017,SMART,HALIFAX COUNTY,FORTWO
2024/01/22,1,2018,SMART,HALIFAX COUNTY,EQ FORTWO
2024/01/22,1,2016,SMART,HALIFAX COUNTY,FORTWO
